Audio File,Level1_mean,Level1_std,Level1_entropy,Level1_energy,Level2_mean,Level2_std,Level2_entropy,Level2_energy,Level3_mean,Level3_std,Level3_entropy,Level3_energy,Level4_mean,Level4_std,Level4_entropy,Level4_energy,Label
wav10s_00238.wav,-0.0004381597,0.6085944,5.554551000344999,20419.826,-8.881171e-06,0.06685904,3.2774251420564418,246.4428,-9.870614e-05,0.042498708,3.2834452818926243,199.13705,4.8738652e-06,0.020978019,2.874697335666574,97.0388,0
wav10s_00239.wav,-0.00054066244,0.57441103,5.485442158949542,18190.38,6.8378395e-05,0.063975565,3.0598074867839764,225.64445,0.00022134303,0.040589582,2.7606165583088873,181.65205,1.3953706e-05,0.020861331,2.7437677068216106,95.9623,0
wav10s_00240.wav,-0.00054367806,0.6165537,5.5700256222199025,20957.432,5.594438e-05,0.07435476,3.556267070087073,304.79913,-0.00013506021,0.045931406,3.0772576390516315,232.60634,-9.288046e-07,0.022312608,2.9983048149682117,109.77846,0
wav10s_00241.wav,-0.00072655635,0.6094913,5.553807230771917,20480.07,-0.00018115202,0.077025585,3.452548847243273,327.09076,-2.7283048e-05,0.048160397,3.0020006496721314,255.72821,-2.41796e-06,0.023550583,3.2246651137659295,122.298134,0
wav10s_00242.wav,-0.0006792014,0.9026923,6.129749077842314,44923.703,0.00057874736,0.15703757,4.982008809592758,1359.593,-0.00012762485,0.07661454,4.050936816677043,647.17523,-3.1817215e-06,0.030694783,3.885358703910917,207.75217,0
wav10s_00243.wav,-0.0025962982,0.92086977,6.149670066305272,46751.52,8.327533e-05,0.17022216,5.3324411865958545,1597.4535,7.986502e-06,0.07542084,4.35019618421273,627.1638,-8.2002025e-06,0.027726239,3.735441018984287,169.5112,0
wav10s_00244.wav,-0.001802344,0.74473256,5.65528771969087,30577.299,-0.0005072553,0.14068368,4.593542704050414,1091.1614,-3.235531e-05,0.066906415,3.302553866014983,493.55316,-7.2755074e-06,0.02420903,2.874177469603032,129.23236,0
wav10s_00245.wav,-4.4854755e-06,0.12226965,4.629321072209178,824.2012,6.2913327e-06,0.0046219965,1.9919047844893485,1.1777575,-7.250828e-07,0.001563668,1.2343962308542944,0.2695799,1.3658654e-08,0.0003504362,0.8416316590356135,0.027079111,0
wav10s_00246.wav,-3.5617566e-05,0.22463706,4.937830773085895,2782.01,2.2745312e-06,0.02152613,2.5321570619358553,25.54629,2.7137256e-07,0.002613902,1.4857827003625006,0.75331557,-1.4905766e-08,0.0002304921,1.160901022822199,0.011714631,0
wav10s_00247.wav,-2.4050969e-05,0.28995627,5.112355127901755,4635.119,3.8857684e-06,0.032072984,3.089593493066675,56.71196,-2.6586022e-07,0.0042197173,2.903636174394047,1.9632019,2.3195634e-08,0.00037307836,2.408327185970044,0.030691395,0
wav10s_00248.wav,8.701383e-06,0.21335289,4.795562753613185,2509.533,5.0768144e-06,0.039822523,3.3600447999654666,87.4286,-1.2775293e-06,0.0050274376,3.021541456562441,2.7867098,2.8663155e-07,0.00038316584,2.3037502443825324,0.032373555,0
wav10s_00249.wav,-8.141423e-05,0.4303294,4.936492815933834,10209.349,2.8453014e-05,0.04683564,3.467671361200557,120.93414,-6.237094e-06,0.020768592,2.3710457142511885,47.55679,1.6368925e-06,0.008987857,1.4469722894725765,17.81266,0
wav10s_00250.wav,-4.303817e-05,0.6649725,5.724948057632569,24378.29,-0.0002593003,0.055575058,3.8892525541920224,170.2806,-1.1979088e-06,0.041061334,3.01055191772374,185.89357,-3.555839e-06,0.020242363,2.710295835189733,90.352234,0
wav10s_00251.wav,-0.00024730587,0.6274974,5.6146796862306,21708.0,4.225247e-05,0.06893446,3.69350805818065,261.98038,-4.117283e-07,0.04844483,3.2072506392561753,258.75766,5.741777e-06,0.019868147,2.9463931680401987,87.04248,0
wav10s_00252.wav,-0.0003494085,0.67308134,5.721188983762868,24976.47,-0.00016223607,0.069122665,3.891005309742199,263.4142,0.00015261334,0.048540648,3.081431545915731,259.7848,-9.450629e-06,0.020929774,3.029689284417528,96.593,0
wav10s_00253.wav,-1.24749595e-05,0.59979594,5.5372349714308,19833.66,0.00012981943,0.062370516,3.9479455593568566,214.46503,6.5882734e-05,0.05388406,3.0173068613115177,320.12497,7.3087667e-06,0.024777232,2.843809795771571,135.3699,0
wav10s_00254.wav,6.9921254e-05,0.6268173,5.600102571149263,21660.969,1.0675029e-05,0.05641847,3.68420544515133,175.4844,-0.000111471316,0.027567202,3.01284850283229,83.78971,2.3693215e-06,0.011961229,2.91729127197031,31.547731,0
wav10s_00255.wav,-0.0013512172,0.7952435,5.93412364391107,34865.62,0.00016965547,0.09611598,4.757535629668265,509.3172,3.1904638e-05,0.05419139,3.6904559863305737,323.7866,-1.2493654e-05,0.027486464,3.3292292194633872,166.59212,0
wav10s_00256.wav,-0.0014963781,0.8122429,5.967927435963806,36372.17,0.00033016386,0.09931795,4.4668833618999395,543.82135,7.77006e-05,0.05324534,3.6925670482084154,312.58096,-8.903598e-07,0.025538603,3.4809781168957397,143.81717,0
wav10s_00257.wav,-0.0012656862,0.73907894,5.818659410734393,30114.715,9.308809e-05,0.0899557,4.537385146076575,446.12216,0.00017515174,0.05406319,3.1967616018147913,322.2599,-4.056438e-06,0.023350075,2.5713494010727116,120.22453,0
wav10s_00258.wav,-0.00024540207,0.63672876,5.630486713315025,22351.41,7.7574296e-05,0.06388729,3.778022816405395,225.02222,-4.9677816e-05,0.022897543,3.301566470654702,57.806694,-8.05259e-06,0.009518102,2.6478387578629246,19.976412,0
wav10s_00259.wav,-0.00016382309,0.63738096,5.65025942887587,22397.217,-0.00017356555,0.061587907,3.724560532212556,209.11742,1.800353e-05,0.02190025,3.321229670669078,52.880634,-1.29736e-06,0.009499034,2.8357033506356593,19.896433,0
wav10s_00260.wav,-2.9652047e-05,0.60701644,5.526638336584987,20314.06,-0.00010146833,0.053991124,3.7596376243570093,160.70972,8.405745e-05,0.03620035,2.3206115431521077,144.48611,5.929486e-06,0.017579876,2.158102928884601,68.147224,0
wav10s_00261.wav,3.408611e-05,0.56535995,5.4207051024238435,17621.627,5.5872202e-05,0.04533286,3.1044884088165507,113.29814,0.000108831955,0.03910075,2.1582260763284875,168.56676,5.5623977e-06,0.01973857,1.9540631008960985,85.91083,0
wav10s_00262.wav,-3.996252e-05,0.5272233,5.506216405371964,15324.454,1.3752061e-05,0.0402061,2.5209370524987036,89.12094,7.113256e-05,0.033459667,1.8543597445257889,123.43645,-2.728343e-06,0.01458617,1.5985823513737185,46.913628,0
wav10s_00263.wav,-2.2987948e-05,0.6446554,5.683014142571555,22911.371,-6.760135e-05,0.06740237,4.257840005076076,250.46477,4.7999027e-05,0.04831947,3.005715481815862,257.42047,-4.6899416e-07,0.0220163,2.6239215458370966,106.88214,0
wav10s_00264.wav,-2.202785e-05,0.56529707,5.433098000960299,17617.703,-4.0764033e-05,0.05662826,3.5671732946878123,176.79199,7.7657445e-05,0.04070952,2.8400518034882207,182.72241,7.475849e-07,0.017668761,2.696085061587471,68.83807,0
wav10s_00265.wav,-0.0008955219,0.70297045,5.752205963079246,27243.992,1.2792871e-05,0.09088661,4.442743667122391,455.40277,-0.00040190868,0.052028377,3.321437981247651,298.47278,-1.6707414e-05,0.024721736,2.8755514771524227,134.7642,0
wav10s_00266.wav,-0.000425283,0.78115135,5.897292366554397,33640.805,-9.280654e-05,0.10195099,4.572361639913453,573.0322,0.00043284355,0.0576308,3.56069262888606,366.21167,9.677324e-07,0.027967032,3.207665589368932,172.46829,0
wav10s_00267.wav,-0.0008099897,0.7919556,5.924468710079426,34577.848,-8.125412e-05,0.10136239,4.6412714121146905,566.43475,9.9014425e-05,0.053564396,3.6020304492414508,316.33856,1.2143731e-06,0.02579386,3.475773367059044,146.70645,0
wav10s_00268.wav,-0.00081735454,0.8033439,5.935797853334975,35579.453,-0.00030587916,0.12944113,4.972162346268091,923.7253,0.00015785282,0.07613071,3.8835163554604715,639.028,6.877664e-06,0.032516617,3.5422093578450435,233.14557,0
wav10s_00269.wav,-0.0005925775,0.83529925,6.015878642977335,38466.29,0.00013659884,0.117209606,4.549725017046929,757.3958,6.6473105e-05,0.07568143,3.9631320023634293,631.50574,5.627005e-06,0.035905622,3.4187811902561664,284.27682,0
wav10s_00270.wav,-0.0013406434,0.779674,5.901336659575944,33513.766,0.00051212555,0.11818406,4.586797493141537,770.05505,7.945999e-05,0.056082472,3.7587402980315168,346.77954,-4.31722e-06,0.0248816,3.276532492285416,136.51273,0
wav10s_00271.wav,-0.00013990105,0.53350616,5.413149682666936,15691.875,-6.925867e-05,0.06426211,3.8583162849563175,227.67029,-2.6712418e-05,0.033428013,2.6129704877656956,123.20257,4.526837e-06,0.014293395,1.6828373808171089,45.04922,0
wav10s_00272.wav,-0.00011979317,0.5654385,5.5717200507632,17626.523,4.506956e-05,0.049517196,3.7082696287171193,135.17873,2.5650832e-05,0.019113535,3.392146923481702,40.279224,5.596788e-10,0.0053358846,3.1245677814294757,6.2781153,0
wav10s_00273.wav,-0.00014221405,0.5417384,5.528650355381347,16179.875,0.00015195961,0.05458502,4.299959362183307,164.26546,-2.3790582e-05,0.019158881,3.8173764275646853,40.47056,-3.3398322e-07,0.0060115815,3.0717972174863735,7.9688187,0
